,id,filepath,label,category
44,01 - A CONTRE COURANT_44,train/nosing/01 - A CONTRE COURANT_44.wav,0,train
45,01 - A CONTRE COURANT_45,train/sing/01 - A CONTRE COURANT_45.wav,1,train
46,01 - A CONTRE COURANT_46,train/nosing/01 - A CONTRE COURANT_46.wav,0,train
47,01 - A CONTRE COURANT_47,train/sing/01 - A CONTRE COURANT_47.wav,1,train
48,01 - A CONTRE COURANT_48,train/nosing/01 - A CONTRE COURANT_48.wav,0,train
49,01 - A CONTRE COURANT_49,train/sing/01 - A CONTRE COURANT_49.wav,1,train
50,01 - A CONTRE COURANT_50,train/nosing/01 - A CONTRE COURANT_50.wav,0,train
51,01 - A CONTRE COURANT_51,train/sing/01 - A CONTRE COURANT_51.wav,1,train
52,01 - A CONTRE COURANT_52,train/nosing/01 - A CONTRE COURANT_52.wav,0,train
53,01 - A CONTRE COURANT_53,train/sing/01 - A CONTRE COURANT_53.wav,1,train
54,01 - A CONTRE COURANT_54,train/nosing/01 - A CONTRE COURANT_54.wav,0,train
55,01 - A CONTRE COURANT_55,train/sing/01 - A CONTRE COURANT_55.wav,1,train
56,01 - A CONTRE COURANT_56,train/nosing/01 - A CONTRE COURANT_56.wav,0,train
57,01 - A CONTRE COURANT_57,train/sing/01 - A CONTRE COURANT_57.wav,1,train
58,01 - A CONTRE COURANT_58,train/nosing/01 - A CONTRE COURANT_58.wav,0,train
59,01 - A CONTRE COURANT_59,train/sing/01 - A CONTRE COURANT_59.wav,1,train
60,01 - A CONTRE COURANT_60,train/nosing/01 - A CONTRE COURANT_60.wav,0,train
61,01 - A CONTRE COURANT_61,train/sing/01 - A CONTRE COURANT_61.wav,1,train
62,01 - A CONTRE COURANT_62,train/nosing/01 - A CONTRE COURANT_62.wav,0,train
63,01 - A CONTRE COURANT_63,train/sing/01 - A CONTRE COURANT_63.wav,1,train
64,01 - A CONTRE COURANT_64,train/nosing/01 - A CONTRE COURANT_64.wav,0,train
65,01 - A CONTRE COURANT_65,train/sing/01 - A CONTRE COURANT_65.wav,1,train
66,01 - A CONTRE COURANT_66,train/nosing/01 - A CONTRE COURANT_66.wav,0,train
67,01 - A CONTRE COURANT_67,train/sing/01 - A CONTRE COURANT_67.wav,1,train
68,01 - A CONTRE COURANT_68,train/nosing/01 - A CONTRE COURANT_68.wav,0,train
69,01 - A CONTRE COURANT_69,train/sing/01 - A CONTRE COURANT_69.wav,1,train
70,01 - A CONTRE COURANT_70,train/nosing/01 - A CONTRE COURANT_70.wav,0,train
71,01 - A CONTRE COURANT_71,train/sing/01 - A CONTRE COURANT_71.wav,1,train
72,01 - A CONTRE COURANT_72,train/nosing/01 - A CONTRE COURANT_72.wav,0,train
73,01 - A CONTRE COURANT_73,train/sing/01 - A CONTRE COURANT_73.wav,1,train
74,01 - A CONTRE COURANT_74,train/nosing/01 - A CONTRE COURANT_74.wav,0,train
75,01 - A CONTRE COURANT_75,train/sing/01 - A CONTRE COURANT_75.wav,1,train
76,01 - A CONTRE COURANT_76,train/nosing/01 - A CONTRE COURANT_76.wav,0,train
77,01 - A CONTRE COURANT_77,train/sing/01 - A CONTRE COURANT_77.wav,1,train
78,01 - A CONTRE COURANT_78,train/nosing/01 - A CONTRE COURANT_78.wav,0,train
79,01 - A CONTRE COURANT_79,train/sing/01 - A CONTRE COURANT_79.wav,1,train
80,01 - A CONTRE COURANT_80,train/nosing/01 - A CONTRE COURANT_80.wav,0,train
81,01 - A CONTRE COURANT_81,train/sing/01 - A CONTRE COURANT_81.wav,1,train
82,01 - A CONTRE COURANT_82,train/nosing/01 - A CONTRE COURANT_82.wav,0,train
83,01 - A CONTRE COURANT_83,train/sing/01 - A CONTRE COURANT_83.wav,1,train
84,01 - A CONTRE COURANT_84,train/nosing/01 - A CONTRE COURANT_84.wav,0,train
85,01 - A CONTRE COURANT_85,train/sing/01 - A CONTRE COURANT_85.wav,1,train
86,01 - A CONTRE COURANT_86,train/nosing/01 - A CONTRE COURANT_86.wav,0,train
87,01 - A CONTRE COURANT_87,train/sing/01 - A CONTRE COURANT_87.wav,1,train
88,01 - A CONTRE COURANT_88,train/nosing/01 - A CONTRE COURANT_88.wav,0,train
89,01 - A CONTRE COURANT_89,train/sing/01 - A CONTRE COURANT_89.wav,1,train
90,01 - A CONTRE COURANT_90,train/nosing/01 - A CONTRE COURANT_90.wav,0,train
91,01 - A CONTRE COURANT_91,train/sing/01 - A CONTRE COURANT_91.wav,1,train
92,01 - A CONTRE COURANT_92,train/nosing/01 - A CONTRE COURANT_92.wav,0,train
93,01 - A CONTRE COURANT_93,train/sing/01 - A CONTRE COURANT_93.wav,1,train
94,01 - A CONTRE COURANT_94,train/nosing/01 - A CONTRE COURANT_94.wav,0,train
95,01 - A CONTRE COURANT_95,train/sing/01 - A CONTRE COURANT_95.wav,1,train
96,01 - A CONTRE COURANT_96,train/nosing/01 - A CONTRE COURANT_96.wav,0,train
97,01 - A CONTRE COURANT_97,train/sing/01 - A CONTRE COURANT_97.wav,1,train
98,01 - A CONTRE COURANT_98,train/nosing/01 - A CONTRE COURANT_98.wav,0,train
99,01 - A CONTRE COURANT_99,train/sing/01 - A CONTRE COURANT_99.wav,1,train
100,01 - A CONTRE COURANT_100,train/nosing/01 - A CONTRE COURANT_100.wav,0,train
101,01 - A CONTRE COURANT_101,train/sing/01 - A CONTRE COURANT_101.wav,1,train
102,01 - A CONTRE COURANT_102,train/nosing/01 - A CONTRE COURANT_102.wav,0,train
103,01 - A CONTRE COURANT_103,train/sing/01 - A CONTRE COURANT_103.wav,1,train
104,01 - A CONTRE COURANT_104,train/nosing/01 - A CONTRE COURANT_104.wav,0,train
105,01 - A CONTRE COURANT_105,train/sing/01 - A CONTRE COURANT_105.wav,1,train
106,01 - A CONTRE COURANT_106,train/nosing/01 - A CONTRE COURANT_106.wav,0,train
107,01 - A CONTRE COURANT_107,train/sing/01 - A CONTRE COURANT_107.wav,1,train
108,01 - A CONTRE COURANT_108,train/nosing/01 - A CONTRE COURANT_108.wav,0,train
109,01 - A CONTRE COURANT_109,train/sing/01 - A CONTRE COURANT_109.wav,1,train
110,01 - A CONTRE COURANT_110,train/nosing/01 - A CONTRE COURANT_110.wav,0,train
111,01 - A CONTRE COURANT_111,train/sing/01 - A CONTRE COURANT_111.wav,1,train
112,01 - A CONTRE COURANT_112,train/nosing/01 - A CONTRE COURANT_112.wav,0,train
113,01 - A CONTRE COURANT_113,train/sing/01 - A CONTRE COURANT_113.wav,1,train
114,01 - A CONTRE COURANT_114,train/nosing/01 - A CONTRE COURANT_114.wav,0,train
115,01 - A CONTRE COURANT_115,train/sing/01 - A CONTRE COURANT_115.wav,1,train
116,01 - A CONTRE COURANT_116,train/nosing/01 - A CONTRE COURANT_116.wav,0,train
117,01 - A CONTRE COURANT_117,train/sing/01 - A CONTRE COURANT_117.wav,1,train
118,01 - A CONTRE COURANT_118,train/nosing/01 - A CONTRE COURANT_118.wav,0,train
119,01 - A CONTRE COURANT_119,train/sing/01 - A CONTRE COURANT_119.wav,1,train
120,01 - A CONTRE COURANT_120,train/nosing/01 - A CONTRE COURANT_120.wav,0,train
121,01 - A CONTRE COURANT_121,train/sing/01 - A CONTRE COURANT_121.wav,1,train
122,01 - A CONTRE COURANT_122,train/nosing/01 - A CONTRE COURANT_122.wav,0,train
123,01 - A CONTRE COURANT_123,train/sing/01 - A CONTRE COURANT_123.wav,1,train
124,01 - A CONTRE COURANT_124,train/nosing/01 - A CONTRE COURANT_124.wav,0,train
125,01 - A CONTRE COURANT_125,train/sing/01 - A CONTRE COURANT_125.wav,1,train
126,01 - A CONTRE COURANT_126,train/nosing/01 - A CONTRE COURANT_126.wav,0,train
127,01 - A CONTRE COURANT_127,train/sing/01 - A CONTRE COURANT_127.wav,1,train
128,01 - A CONTRE COURANT_128,train/nosing/01 - A CONTRE COURANT_128.wav,0,train
129,01 - A CONTRE COURANT_129,train/sing/01 - A CONTRE COURANT_129.wav,1,train
130,01 - A CONTRE COURANT_130,train/nosing/01 - A CONTRE COURANT_130.wav,0,train
131,01 - A CONTRE COURANT_131,train/sing/01 - A CONTRE COURANT_131.wav,1,train
132,01 - A CONTRE COURANT_132,train/nosing/01 - A CONTRE COURANT_132.wav,0,train
133,01 - A CONTRE COURANT_133,train/sing/01 - A CONTRE COURANT_133.wav,1,train
134,01 - A CONTRE COURANT_134,train/nosing/01 - A CONTRE COURANT_134.wav,0,train
135,01 - A CONTRE COURANT_135,train/sing/01 - A CONTRE COURANT_135.wav,1,train
136,01 - A CONTRE COURANT_136,train/nosing/01 - A CONTRE COURANT_136.wav,0,train
137,01 - A CONTRE COURANT_137,train/sing/01 - A CONTRE COURANT_137.wav,1,train
138,01 - A CONTRE COURANT_138,train/nosing/01 - A CONTRE COURANT_138.wav,0,train
139,01 - A CONTRE COURANT_139,train/sing/01 - A CONTRE COURANT_139.wav,1,train
140,01 - A CONTRE COURANT_140,train/nosing/01 - A CONTRE COURANT_140.wav,0,train
141,01 - Aur_0,train/nosing/01 - Aur_0.wav,0,train
142,01 - Aur_1,train/sing/01 - Aur_1.wav,1,train
143,01 - Aur_2,train/nosing/01 - Aur_2.wav,0,train
144,01 - Aur_3,train/sing/01 - Aur_3.wav,1,train
145,01 - Aur_4,train/nosing/01 - Aur_4.wav,0,train
146,01 - Aur_5,train/sing/01 - Aur_5.wav,1,train
147,01 - Aur_6,train/nosing/01 - Aur_6.wav,0,train
148,01 - Aur_7,train/sing/01 - Aur_7.wav,1,train
149,01 - Aur_8,train/nosing/01 - Aur_8.wav,0,train
150,01 - Atlantide_0,train/nosing/01 - Atlantide_0.wav,0,train
151,01 - Atlantide_1,train/sing/01 - Atlantide_1.wav,1,train
152,01 - Atlantide_2,train/nosing/01 - Atlantide_2.wav,0,train
153,01 - Atlantide_3,train/sing/01 - Atlantide_3.wav,1,train
154,01 - Atlantide_4,train/nosing/01 - Atlantide_4.wav,0,train
155,01 - Atlantide_5,train/sing/01 - Atlantide_5.wav,1,train
156,01 - Atlantide_6,train/nosing/01 - Atlantide_6.wav,0,train
157,01 - Atlantide_7,train/sing/01 - Atlantide_7.wav,1,train
158,01 - Atlantide_8,train/nosing/01 - Atlantide_8.wav,0,train
159,01 - Atlantide_9,train/sing/01 - Atlantide_9.wav,1,train
160,01 - Atlantide_10,train/nosing/01 - Atlantide_10.wav,0,train
161,01 - Atlantide_11,train/sing/01 - Atlantide_11.wav,1,train
162,01 - Atlantide_12,train/nosing/01 - Atlantide_12.wav,0,train
163,01 - Atlantide_13,train/sing/01 - Atlantide_13.wav,1,train
164,01 - Atlantide_14,train/nosing/01 - Atlantide_14.wav,0,train
165,01 - Atlantide_15,train/sing/01 - Atlantide_15.wav,1,train
166,01 - Atlantide_16,train/nosing/01 - Atlantide_16.wav,0,train
167,01 - Atlantide_17,train/sing/01 - Atlantide_17.wav,1,train
168,01 - Atlantide_18,train/nosing/01 - Atlantide_18.wav,0,train
169,01 - Atlantide_19,train/sing/01 - Atlantide_19.wav,1,train
170,01 - Atlantide_20,train/nosing/01 - Atlantide_20.wav,0,train
171,01 - Atlantide_21,train/sing/01 - Atlantide_21.wav,1,train
172,01 - Atlantide_22,train/nosing/01 - Atlantide_22.wav,0,train
173,01 - Atlantide_23,train/sing/01 - Atlantide_23.wav,1,train
174,01 - Atlantide_24,train/nosing/01 - Atlantide_24.wav,0,train
175,01 - Atlantide_25,train/sing/01 - Atlantide_25.wav,1,train
176,01 - Atlantide_26,train/nosing/01 - Atlantide_26.wav,0,train
177,01 - Atlantide_27,train/sing/01 - Atlantide_27.wav,1,train
178,01 - Atlantide_28,train/nosing/01 - Atlantide_28.wav,0,train
179,01 - Atlantide_29,train/sing/01 - Atlantide_29.wav,1,train
180,01 - Atlantide_30,train/nosing/01 - Atlantide_30.wav,0,train
181,01 - Atlantide_31,train/sing/01 - Atlantide_31.wav,1,train
182,01 - Atlantide_32,train/nosing/01 - Atlantide_32.wav,0,train
183,01 - Atlantide_33,train/sing/01 - Atlantide_33.wav,1,train
184,01 - Atlantide_34,train/nosing/01 - Atlantide_34.wav,0,train
185,01 - Atlantide_35,train/sing/01 - Atlantide_35.wav,1,train
186,01 - Atlantide_36,train/nosing/01 - Atlantide_36.wav,0,train
187,01 - Atlantide_37,train/sing/01 - Atlantide_37.wav,1,train
188,01 - Atlantide_38,train/nosing/01 - Atlantide_38.wav,0,train
189,01 - Atlantide_39,train/sing/01 - Atlantide_39.wav,1,train
190,01 - Atlantide_40,train/nosing/01 - Atlantide_40.wav,0,train
191,01 - Atlantide_41,train/sing/01 - Atlantide_41.wav,1,train
192,01 - Atlantide_42,train/nosing/01 - Atlantide_42.wav,0,train
193,01 - Atlantide_43,train/sing/01 - Atlantide_43.wav,1,train
194,01 - Atlantide_44,train/nosing/01 - Atlantide_44.wav,0,train
195,01 - Atlantide_45,train/sing/01 - Atlantide_45.wav,1,train
196,01 - Atlantide_46,train/nosing/01 - Atlantide_46.wav,0,train
197,01 - Atlantide_47,train/sing/01 - Atlantide_47.wav,1,train
198,01 - Atlantide_48,train/nosing/01 - Atlantide_48.wav,0,train
199,01 - Atlantide_49,train/sing/01 - Atlantide_49.wav,1,train
200,01 - Atlantide_50,train/nosing/01 - Atlantide_50.wav,0,train
201,01 - Auf einem anderen Stern_0,train/nosing/01 - Auf einem anderen Stern_0.wav,0,train
202,01 - Auf einem anderen Stern_1,train/sing/01 - Auf einem anderen Stern_1.wav,1,train
203,01 - Auf einem anderen Stern_2,train/nosing/01 - Auf einem anderen Stern_2.wav,0,train
204,01 - Auf einem anderen Stern_3,train/sing/01 - Auf einem anderen Stern_3.wav,1,train
205,01 - Auf einem anderen Stern_4,train/nosing/01 - Auf einem anderen Stern_4.wav,0,train
206,01 - Auf einem anderen Stern_5,train/sing/01 - Auf einem anderen Stern_5.wav,1,train
207,01 - Auf einem anderen Stern_6,train/nosing/01 - Auf einem anderen Stern_6.wav,0,train
208,01 - Auf einem anderen Stern_7,train/sing/01 - Auf einem anderen Stern_7.wav,1,train
209,01 - Auf einem anderen Stern_8,train/nosing/01 - Auf einem anderen Stern_8.wav,0,train
210,01 - Auf einem anderen Stern_9,train/sing/01 - Auf einem anderen Stern_9.wav,1,train
211,01 - Auf einem anderen Stern_10,train/nosing/01 - Auf einem anderen Stern_10.wav,0,train
212,01 - Auf einem anderen Stern_11,train/sing/01 - Auf einem anderen Stern_11.wav,1,train
213,01 - Auf einem anderen Stern_12,train/nosing/01 - Auf einem anderen Stern_12.wav,0,train
214,01 - Auf einem anderen Stern_13,train/sing/01 - Auf einem anderen Stern_13.wav,1,train
215,01 - Auf einem anderen Stern_14,train/nosing/01 - Auf einem anderen Stern_14.wav,0,train
216,01 - Auf einem anderen Stern_15,train/sing/01 - Auf einem anderen Stern_15.wav,1,train
217,01 - Auf einem anderen Stern_16,train/nosing/01 - Auf einem anderen Stern_16.wav,0,train
218,01 - Auf einem anderen Stern_17,train/sing/01 - Auf einem anderen Stern_17.wav,1,train
219,01 - Auf einem anderen Stern_18,train/nosing/01 - Auf einem anderen Stern_18.wav,0,train
220,01 - Auf einem anderen Stern_19,train/sing/01 - Auf einem anderen Stern_19.wav,1,train
221,01 - Auf einem anderen Stern_20,train/nosing/01 - Auf einem anderen Stern_20.wav,0,train
222,01 - Auf einem anderen Stern_21,train/sing/01 - Auf einem anderen Stern_21.wav,1,train
223,01 - Auf einem anderen Stern_22,train/nosing/01 - Auf einem anderen Stern_22.wav,0,train
224,01 - Auf einem anderen Stern_23,train/sing/01 - Auf einem anderen Stern_23.wav,1,train
225,01 - Auf einem anderen Stern_24,train/nosing/01 - Auf einem anderen Stern_24.wav,0,train
226,01 - Auf einem anderen Stern_25,train/sing/01 - Auf einem anderen Stern_25.wav,1,train
227,01 - Auf einem anderen Stern_26,train/nosing/01 - Auf einem anderen Stern_26.wav,0,train
228,01 - Auf einem anderen Stern_27,train/sing/01 - Auf einem anderen Stern_27.wav,1,train
229,01 - Auf einem anderen Stern_28,train/nosing/01 - Auf einem anderen Stern_28.wav,0,train
230,01 - Auf einem anderen Stern_29,train/sing/01 - Auf einem anderen Stern_29.wav,1,train
231,01 - Auf einem anderen Stern_30,train/nosing/01 - Auf einem anderen Stern_30.wav,0,train
232,01 - Auf einem anderen Stern_31,train/sing/01 - Auf einem anderen Stern_31.wav,1,train
233,01 - Auf einem anderen Stern_32,train/nosing/01 - Auf einem anderen Stern_32.wav,0,train
234,01 - Auf einem anderen Stern_33,train/sing/01 - Auf einem anderen Stern_33.wav,1,train
235,01 - Auf einem anderen Stern_34,train/nosing/01 - Auf einem anderen Stern_34.wav,0,train
236,01 - Auf einem anderen Stern_35,train/sing/01 - Auf einem anderen Stern_35.wav,1,train
237,01 - Auf einem anderen Stern_36,train/nosing/01 - Auf einem anderen Stern_36.wav,0,train
238,01 - Auf einem anderen Stern_37,train/sing/01 - Auf einem anderen Stern_37.wav,1,train
239,01 - Auf einem anderen Stern_38,train/nosing/01 - Auf einem anderen Stern_38.wav,0,train
240,01 - Auf einem anderen Stern_39,train/sing/01 - Auf einem anderen Stern_39.wav,1,train
241,01 - Auf einem anderen Stern_40,train/nosing/01 - Auf einem anderen Stern_40.wav,0,train
242,01 - Auf einem anderen Stern_41,train/sing/01 - Auf einem anderen Stern_41.wav,1,train
243,01 - Auf einem anderen Stern_42,train/nosing/01 - Auf einem anderen Stern_42.wav,0,train
244,01 - Auf einem anderen Stern_43,train/sing/01 - Auf einem anderen Stern_43.wav,1,train
245,01 - Auf einem anderen Stern_44,train/nosing/01 - Auf einem anderen Stern_44.wav,0,train
246,01 - Auf einem anderen Stern_45,train/sing/01 - Auf einem anderen Stern_45.wav,1,train
247,01 - Auf einem anderen Stern_46,train/nosing/01 - Auf einem anderen Stern_46.wav,0,train
248,01 - Auf einem anderen Stern_47,train/sing/01 - Auf einem anderen Stern_47.wav,1,train
249,01 - Auf einem anderen Stern_48,train/nosing/01 - Auf einem anderen Stern_48.wav,0,train
250,01 - Auf einem anderen Stern_49,train/sing/01 - Auf einem anderen Stern_49.wav,1,train
251,01 - Auf einem anderen Stern_50,train/nosing/01 - Auf einem anderen Stern_50.wav,0,train
252,01 - Auf einem anderen Stern_51,train/sing/01 - Auf einem anderen Stern_51.wav,1,train
253,01 - Auf einem anderen Stern_52,train/nosing/01 - Auf einem anderen Stern_52.wav,0,train
254,01 - Auf einem anderen Stern_53,train/sing/01 - Auf einem anderen Stern_53.wav,1,train
255,01 - Auf einem anderen Stern_54,train/nosing/01 - Auf einem anderen Stern_54.wav,0,train
256,01 - Auf einem anderen Stern_55,train/sing/01 - Auf einem anderen Stern_55.wav,1,train
257,01 - Auf einem anderen Stern_56,train/nosing/01 - Auf einem anderen Stern_56.wav,0,train
258,01 - Auf einem anderen Stern_57,train/sing/01 - Auf einem anderen Stern_57.wav,1,train
259,01 - Auf einem anderen Stern_58,train/nosing/01 - Auf einem anderen Stern_58.wav,0,train
260,01 - Auf einem anderen Stern_59,train/sing/01 - Auf einem anderen Stern_59.wav,1,train
261,01 - Auf einem anderen Stern_60,train/nosing/01 - Auf einem anderen Stern_60.wav,0,train
262,01 - Auf einem anderen Stern_61,train/sing/01 - Auf einem anderen Stern_61.wav,1,train
263,01 - Auf einem anderen Stern_62,train/nosing/01 - Auf einem anderen Stern_62.wav,0,train
264,01 - Astor_0,train/nosing/01 - Astor_0.wav,0,train
265,01 - Astor_1,train/sing/01 - Astor_1.wav,1,train
266,01 - Astor_2,train/nosing/01 - Astor_2.wav,0,train
267,01 - Astor_3,train/sing/01 - Astor_3.wav,1,train
268,01 - Astor_4,train/nosing/01 - Astor_4.wav,0,train
269,01 - Astor_5,train/sing/01 - Astor_5.wav,1,train
270,01 - Astor_6,train/nosing/01 - Astor_6.wav,0,train
271,01 - Astor_7,train/sing/01 - Astor_7.wav,1,train
272,01 - Astor_8,train/nosing/01 - Astor_8.wav,0,train
273,01 - Astor_9,train/sing/01 - Astor_9.wav,1,train
274,01 - Astor_10,train/nosing/01 - Astor_10.wav,0,train
275,01 - Astor_11,train/sing/01 - Astor_11.wav,1,train
276,01 - Astor_12,train/nosing/01 - Astor_12.wav,0,train
277,01 - Astor_13,train/sing/01 - Astor_13.wav,1,train
278,01 - Astor_14,train/nosing/01 - Astor_14.wav,0,train
279,01 - Astor_15,train/sing/01 - Astor_15.wav,1,train
280,01 - Astor_16,train/nosing/01 - Astor_16.wav,0,train
281,01 - Astor_17,train/sing/01 - Astor_17.wav,1,train
282,01 - Astor_18,train/nosing/01 - Astor_18.wav,0,train
283,01 - Astor_19,train/sing/01 - Astor_19.wav,1,train
284,01 - Astor_20,train/nosing/01 - Astor_20.wav,0,train
285,01 - Astor_21,train/sing/01 - Astor_21.wav,1,train
286,01 - Astor_22,train/nosing/01 - Astor_22.wav,0,train
287,01 - Astor_23,train/sing/01 - Astor_23.wav,1,train
288,01 - Astor_24,train/nosing/01 - Astor_24.wav,0,train
289,01 - Astor_25,train/sing/01 - Astor_25.wav,1,train
290,01 - Astor_26,train/nosing/01 - Astor_26.wav,0,train
291,01 - Astor_27,train/sing/01 - Astor_27.wav,1,train
292,01 - Astor_28,train/nosing/01 - Astor_28.wav,0,train
293,01 - Astor_29,train/sing/01 - Astor_29.wav,1,train
294,01 - Astor_30,train/nosing/01 - Astor_30.wav,0,train
295,01 - Astor_31,train/sing/01 - Astor_31.wav,1,train
296,01 - Astor_32,train/nosing/01 - Astor_32.wav,0,train
297,01 - A better Life_0,train/nosing/01 - A better Life_0.wav,0,train
298,01 - A better Life_1,train/sing/01 - A better Life_1.wav,1,train
299,01 - A better Life_2,train/nosing/01 - A better Life_2.wav,0,train
300,01 - A better Life_3,train/sing/01 - A better Life_3.wav,1,train
301,01 - A better Life_4,train/nosing/01 - A better Life_4.wav,0,train
302,01 - A better Life_5,train/sing/01 - A better Life_5.wav,1,train
303,01 - A better Life_6,train/nosing/01 - A better Life_6.wav,0,train
304,01 - A better Life_7,train/sing/01 - A better Life_7.wav,1,train
305,01 - A better Life_8,train/nosing/01 - A better Life_8.wav,0,train
306,01 - A better Life_9,train/sing/01 - A better Life_9.wav,1,train
307,01 - A better Life_10,train/nosing/01 - A better Life_10.wav,0,train
308,01 - A better Life_11,train/sing/01 - A better Life_11.wav,1,train
309,01 - A better Life_12,train/nosing/01 - A better Life_12.wav,0,train
310,01 - A better Life_13,train/sing/01 - A better Life_13.wav,1,train
311,01 - A better Life_14,train/nosing/01 - A better Life_14.wav,0,train
312,01 - A better Life_15,train/sing/01 - A better Life_15.wav,1,train
313,01 - A better Life_16,train/nosing/01 - A better Life_16.wav,0,train
314,01 - A better Life_17,train/sing/01 - A better Life_17.wav,1,train
315,01 - A better Life_18,train/nosing/01 - A better Life_18.wav,0,train
316,01 - A better Life_19,train/sing/01 - A better Life_19.wav,1,train
317,01 - A better Life_20,train/nosing/01 - A better Life_20.wav,0,train
318,01 - A better Life_21,train/sing/01 - A better Life_21.wav,1,train
319,01 - A better Life_22,train/nosing/01 - A better Life_22.wav,0,train
320,01 - A better Life_23,train/sing/01 - A better Life_23.wav,1,train
321,01 - A better Life_24,train/nosing/01 - A better Life_24.wav,0,train
322,01 - A better Life_25,train/sing/01 - A better Life_25.wav,1,train
323,01 - A better Life_26,train/nosing/01 - A better Life_26.wav,0,train
324,01 - A better Life_27,train/sing/01 - A better Life_27.wav,1,train
325,01 - A better Life_28,train/nosing/01 - A better Life_28.wav,0,train
326,01 - A better Life_29,train/sing/01 - A better Life_29.wav,1,train
327,01 - A better Life_30,train/nosing/01 - A better Life_30.wav,0,train
328,01 - A better Life_31,train/sing/01 - A better Life_31.wav,1,train
